MovieID,Genres,Movie_Score,Title,Avg_Rating,image_link
2858,"['Comedy', 'Drama']",4.317,American Beauty (1999),4.3,https://liangfgithub.github.io/MovieImages/2858.jpg
260,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",3.886,Star Wars: Episode IV - A New Hope (1977),4.5,https://liangfgithub.github.io/MovieImages/260.jpg
1196,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'War']",3.744,Star Wars: Episode V - The Empire Strikes Back (1980),4.3,https://liangfgithub.github.io/MovieImages/1196.jpg
1210,"['Action', 'Adventure', 'Romance', 'Sci-Fi', 'War']",3.383,Star Wars: Episode VI - Return of the Jedi (1983),4.0,https://liangfgithub.github.io/MovieImages/1210.jpg
2028,"['Action', 'Drama', 'War']",3.357,Saving Private Ryan (1998),4.3,https://liangfgithub.github.io/MovieImages/2028.jpg
1198,"['Action', 'Adventure']",3.284,Raiders of the Lost Ark (1981),4.5,https://liangfgithub.github.io/MovieImages/1198.jpg
593,"['Drama', 'Thriller']",3.273,"Silence of the Lambs, The (1991)",4.4,https://liangfgithub.github.io/MovieImages/593.jpg
2571,"['Action', 'Sci-Fi', 'Thriller']",3.261,"Matrix, The (1999)",4.3,https://liangfgithub.github.io/MovieImages/2571.jpg
2762,['Thriller'],3.161,"Sixth Sense, The (1999)",4.4,https://liangfgithub.github.io/MovieImages/2762.jpg
589,"['Action', 'Sci-Fi', 'Thriller']",3.136,Terminator 2: Judgment Day (1991),4.1,https://liangfgithub.github.io/MovieImages/589.jpg
608,"['Crime', 'Drama', 'Thriller']",3.119,Fargo (1996),4.3,https://liangfgithub.github.io/MovieImages/608.jpg
527,"['Drama', 'War']",3.032,Schindler's List (1993),4.5,https://liangfgithub.github.io/MovieImages/527.jpg
110,"['Action', 'Drama', 'War']",3.018,Braveheart (1995),4.2,https://liangfgithub.github.io/MovieImages/110.jpg
1270,"['Comedy', 'Sci-Fi']",3.007,Back to the Future (1985),4.0,https://liangfgithub.github.io/MovieImages/1270.jpg
318,['Drama'],2.959,"Shawshank Redemption, The (1994)",4.6,https://liangfgithub.github.io/MovieImages/318.jpg
480,"['Action', 'Adventure', 'Sci-Fi']",2.934,Jurassic Park (1993),3.8,https://liangfgithub.github.io/MovieImages/480.jpg
858,"['Action', 'Crime', 'Drama']",2.934,"Godfather, The (1972)",4.5,https://liangfgithub.github.io/MovieImages/858.jpg
1197,"['Action', 'Adventure', 'Comedy', 'Romance']",2.91,"Princess Bride, The (1987)",4.3,https://liangfgithub.github.io/MovieImages/1197.jpg
2396,"['Comedy', 'Romance']",2.852,Shakespeare in Love (1998),4.1,https://liangfgithub.github.io/MovieImages/2396.jpg
1617,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",2.816,L.A. Confidential (1997),4.2,https://liangfgithub.github.io/MovieImages/1617.jpg
